coordenadas,id_trayectoria
"(-79.886544,-2.149175)",166
"(-79.873597,-2.088527)",176
"(-79.87385,-2.092972)",225
"(-79.895459,-2.16373)",150
"(-79.895634,-2.132144)",189
"(-79.892801,-2.171217)",493
"(-79.873627,-2.086)",445
"(-79.873877,-2.093624)",174
"(-79.895634,-2.132144)",173
"(-79.868765,-2.123727)",145
"(-79.886635,-2.155077)",160
"(-79.834559,-2.072834)",34
"(-79.89216,-2.164674)",451
"(-79.882214,-2.133741)",218
"(-79.882287,-2.133049)",171
"(-79.925625,-2.163452)",351
"(-79.832895,-2.068292)",124
"(-79.8893,-2.15967)",138
"(-79.9002936,-2.1786436)",583
"(-79.894159,-2.13165)",129
"(-79.882244,-2.052287)",432
"(-79.885947,-2.128952)",124
"(-79.9001221,-2.1788177)",594
"(-79.872334,-2.107707)",138
"(-79.841197,-2.072262)",223
"(-79.887339,-2.156287)",131
"(-79.886415,-2.151195)",185
"(-79.872059,-2.108897)",199
"(-79.868394,-2.116877)",494
"(-79.872744,-2.105892)",131
"(-79.873214,-2.104012)",208
"(-79.898851,-2.190108)",486
"(-79.885895,-2.128899)",123
"(-79.9001677,-2.1788777)",620
"(-79.896894,-2.191433)",370
"(-79.9001738,-2.178858)",579
"(-79.89425,-2.136337)",448
"(-79.841149,-2.072266)",136
"(-79.887234,-2.156079)",161
"(-79.883822,-2.132182)",192
"(-79.900286,-2.1785521)",602
"(-79.891636,-2.097738)",380
"(-79.845257,-2.073709)",170
